name,weight/volume,calories,proteins,fats,carbohydrates,type,brand,manufacturer,article,composition,description,image_url,rating_score,price,category
Фруктовый лед Бон Пари Взрывный ураган 2.9%,54мл,118,0.1,2.9,22.5,Мороженое,Бон Пари,Нестле,1000111115,"Вода, сахар, патока (содержит глютен), кондитерская масса (масла подсолнечное и какао, сахар, сыворотка молочная сухая, эмульгатор (соевый лецитин), краситель (аннато экстракты), ароматизатор (апельсин)), взрывная карамель (сахар, глюкозный сироп, лактоза), регулятор кислотности (лимонная кислота), клубничное пюре, концентрат апельсинового сока, красители (красный свекольный, каротины (с эмульгаторами (сорбит, глицерина и лимонной кислоты и жирных кислот эфиры))), стабилизатор (гуаровая камедь), ароматизаторы натуральные (клубника, апельсин). Важно: дети младше 4 лет имеют ограниченную жевательную функцию и могут подавиться небольшими кусочками карамели","Фруктовый лёд объединяет в себе несколько вкусов. Оболочка создана из натурального сока. Внутри — маленькие карамелизированные кусочки, взрывающиеся во рту и дарящие ощущение свежести.",https://images-foodtech.magnit.ru/aNnSnyj-FHTz7M5Jkuxqw3cHknFcbSwrw8GtI5Edh2o/rs:fit:1600:1600/plain/s3://img-dostavka/uf/435/435cc9b140e83c23f88c89072cb9c951/7f9e0ec3aec678ee49cf3b80d97b9871.jpeg@webp,4.8,54.99,zamorozhennye_produkty
Клубника Green Ribbon быстрозамороженная,300г,40,1.0,0.4,7.5,Клубника,Green Ribbon,Тандер,1000543024,Клубника,"Быстрозамороженные ягоды, в которых сохранились природный вкус и аромат. Вкус клубники сладкий и сочный, а аромат яркий и аппетитный.Ягоды подходят для приготовления десертов и выпечки.",https://images-foodtech.magnit.ru/v8enRxTqc8dYYn-6MGQtrmZZsEvWjfxc38Oamzs_3CQ/rs:fit:1600:1600/plain/s3://img-dostavka/uf/fc7/fc7957eb428defc16195cad4c0000711/a4236e695dafb83e326c946f48e51c79.jpeg@webp,4.7,119.99,zamorozhennye_produkty
Тушка утенка Озерка замороженная,,245,16.0,20.0,,Утка,Озёрка,Новые Фермы,1000385371,"Целая тушка утенка потрошеная, вес от 2,1 до 2,19 кг","Тушка утёнка имеет нежное, мягкое мясо и легко готовится. Ее можно потушить, запечь полностью в рукаве или фольге, а также сварить, пожарить на сковороде или решетке гриле.",https://images-foodtech.magnit.ru/yiibrD-AI954ktBEF1MbZ6j6fY80sPlD6Bv2MD4esQo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/01c/01c3c387b6f4cffa093be9749d34632b/81ed445c92153f016c68ea04aadd57a1.png@webp,4.8,599.98,zamorozhennye_produkty
Печень цыплят-бройлеров Акашево замороженная,500г,119,16.9,4.8,0.7,Печень куриная,,ПФ Акашевская,1000077754,Печень цыплят-бройлеров,"Печень цыплят-бройлеров Акашево замороженная 500г — полезный продукт для приготовления первых и вторых блюд. Низкокалорийный продукт проходит тщательный контроль качества, а птица вскармливается на экологически чистых кормах. Он безопасен для здоровья, не способствует набору лишней массы тела. Готовые блюда из печени получаются вкусными и питательными. Продукт содержит высокий процент легкоусвояемого белка, витамин В12, железо и нутриенты в составе. Регулярное его употребление положительно воздействует на работу сердечно-сосудистой и нервной систем, поддерживает нормальное состояние кожного покрова.Субпродукты поставляются на подложке и хранятся в морозильной камере при -18°С не более 6 месяцев.",https://images-foodtech.magnit.ru/XqyH2Uw-Jf4C9Xb4gCNleQopxAvOQEcpD5FOmYBcE1Q/rs:fit:1600:1600/plain/s3://img-dostavka/uf/86a/86a5314f9f6adbd8c228ab21cc414f46/6ce8e0ca55ce76fed13d63b830277a9e.jpeg@webp,4.6,149.99,zamorozhennye_produkty
Мороженое Коровка из Кореновки Пломбир Крем-Брюле в вафельном стаканчике,100г,216,3.0,14.0,19.0,Мороженое,Коровка из Кореновки,Кореновский МКК,1000048703,"Сливки, сахар, вафельный стакан (мука пшеничная хлебопекарная, масло растительное, сахар-песок, соль поваренная пищевая, сода пищевая), молоко цельное сгущенное с сахаром, молоко сухое обезжиренное, стабилизатор – «Кремодан» (моно- и диглицериды жирных кислот, камедь рожкового дерева, гуаровая камедь, каррагинан)",Пломбир крем-брюле в вафельном стаканчике на сливках и сгущённом молоке с натуральным сиропом собственного производства. Обладает мягкой текстурой и выразительным карамельным вкусом. Не содержит растительных жиров.,https://images-foodtech.magnit.ru/s1sIT6a9PVfQF6ESVXaTVyGjoRhDYGENd5qczaCR3pk/rs:fit:1600:1600/plain/s3://img-dostavka/uf/028/028435839a837423159ae1af15336944/da7b5c55dcbfcf3bddfb7a37d3cd0345.jpeg@webp,4.8,79.99,zamorozhennye_produkty
Кальмар Borealis командорский тушка свежемороженый,500г,100,18.0,2.0,2.0,Кальмар,Borealis,Норебо,1000533806,"Кальмар к    омандорский (berryteuthis magister) тушка неочищенная, вода питьевая",Свежемороженая тушка кальмара отличается нежным вкусом и сочной текстурой. При приготовлении кальмар приобретает аппетитный аромат морепродуктов. Тушку удобно использовать в различных блюдах — от салатов до жаркого.,https://images-foodtech.magnit.ru/NY0rv2_qm1KYg-xPzYEGLn6qyNkVRTQlaJU_4OD0BBo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/2c4/2c4d5281c54511adfc55eeebaee1b8e5/32a8f79150324d8faf8cc4b250e86bcc.jpeg@webp,4.7,279.99,ryba_moreprodukty
Кальмар Borealis командорский тушка свежемороженый,500г,100,18.0,2.0,2.0,Кальмар,Borealis,Норебо,1000533806,"Кальмар к    омандорский (berryteuthis magister) тушка неочищенная, вода питьевая",Свежемороженая тушка кальмара отличается нежным вкусом и сочной текстурой. При приготовлении кальмар приобретает аппетитный аромат морепродуктов. Тушку удобно использовать в различных блюдах — от салатов до жаркого.,https://images-foodtech.magnit.ru/NY0rv2_qm1KYg-xPzYEGLn6qyNkVRTQlaJU_4OD0BBo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/2c4/2c4d5281c54511adfc55eeebaee1b8e5/32a8f79150324d8faf8cc4b250e86bcc.jpeg@webp,4.7,279.99,zamorozhennye_produkty
Пломбир Гост вафельный стаканчик,75г,207,4.1,11.6,21.6,Мороженое,ГОСТ,Набережночелнинский ХК Челны Холод,1000162364,"Молоко цельное, сахар-песок, масло сливочное, молоко сухое обезжиренное, стабилизатор-эмульгатор, ароматизатор пищевой ""ванилин""","Пломбир Гост вафельный стаканчик 75г изготовлено по традиционной рецептуре в соответствии с ГОСТ. В его состав входят отборные компоненты: сливки и цельное молоко, сгущенка и сливочное масло, сахар и другие ингредиенты. Лакомство отличается тающей во рту нежной текстурой и насыщенным сливочным вкусом, с которым гармонично сочетается хрустящая вафля.Холодный десерт в вафельном стаканчике — хорошая идея для быстрого перекуса не только дома, но и на работе или во время прогулки в жаркую погоду. Он легко усваивается, моментально утоляет голод, тонизирует, восстанавливает силы и освежает. Такой продукт приносит пользу организму: положительно сказывается на работе мозга и концентрации внимания, успокаивает и улучшает настроение.",https://images-foodtech.magnit.ru/-3wr4sipTzHs71oypi_c_5o1KlzFg_H6myTjNINkM8Y/rs:fit:1600:1600/plain/s3://img-dostavka/uf/aed/aed0dbda079f4757b4075f0e0a16c86d/323a98f73ed8eec5b71d8a603aadc522.jpeg@webp,4.7,58.99,zamorozhennye_produkty
Тесто Хлебный дом Звездное слоеное дрожжевое,500г,414,7.3,20.9,48.6,Тесто,Звездное,Хлебный Дом,1000110081,"Мука пшеничная хлебопекарная высшего сорта, вода питьевая, маргарин (масла растительные рафинированные дезодорированные, вода, ароматизатор натуральный), дрожжи хлебопекарные, сахар, соль, улучшитель хлебопекарный (клейковина пшеничная, эмульгатор – эфиры глицерина и диацетилвинной и жирных кислот, мука пшеничная первого сорта, ферментный препарат (антиокислитель – кислота аскорбиновая, ферменты микробного происхождения))","Слоёное тестов равномерно распределено пластами, поэтому его легко размораживать и хранить в холодильнике — никаких сложностей. Выпечка из него получается пышной и вкусной.",https://images-foodtech.magnit.ru/l0TFKjxXz5WHMGF2UU1ErXzHhv3VwjqcF1RmqcuU_nE/rs:fit:1600:1600/plain/s3://img-dostavka/uf/1b2/1b249d5a51218c93592e3b9826afeb81/b580fdaeefe24384b562f05d30e71448.jpeg@webp,4.8,109.99,zamorozhennye_produkty
Тесто Хлебный дом Звездное слоеное бездрожжевое,500г,445,7.2,24.6,52.4,Тесто,Звездное,Хлебный Дом,1000110082,"Мука пшеничная хлебопекарная высшего сорта, вода питьевая, маргарин (масла растительные рафинированные дезодорированные, вода, ароматизатор натуральный), соль, регулятор кислотности – кислота лимонная",Бездрожжевое слоёное тесто быстро размораживается и преврашается в пластичную пластину. В результате выпечка получается пышной и невероятно вкусной.,https://images-foodtech.magnit.ru/-vuF77Ol5T7lIKn4ia1WqmhdYKxmELXNXZijQQN8ZZs/rs:fit:1600:1600/plain/s3://img-dostavka/uf/d73/d73e2c98c8a5fd08dfcd640c99890209/482c1ce21a256cf01623bd8f5403d6be.jpeg@webp,4.7,109.99,zamorozhennye_produkty
